"","","L1","Mac","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_happy_small","","","","","","",""
"","","L2","Dogcow","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:dogcow","","","","","","",""
"","","L3","Mac2","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_happy_small","","","","","","",""
"","","L4","Dogcow2","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:dogcow","","","","","","",""
"","","L5","Raspberry Pi","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:pi_logo","","","","","","",""
"","","L6","Mac Trashcan","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_trashcan","","","","","","",""
"","","L7","Raspberry Pi","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:pi_logo","","","","","","",""
"","","R1","44","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R2","44","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R3","112","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R4","44","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","RN1","10k","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","RN2","10k","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","RN3","220","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","RN4","330","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","RN5","220","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","RN6","330","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"","","U1","SN74LS641-1C","rascsi_din-rescue:SN74LS641-1C-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:SOIC20S","","","","","","",""
"","","U2","SN74LS641-1C","rascsi_din-rescue:SN74LS641-1C-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:SOIC20S","","","","","","",""
"","","U3","SN74LS641-1C","rascsi_din-rescue:SN74LS641-1C-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:SOIC20S","","","","","","",""
"","","U4","SN74LS641-1C","rascsi_din-rescue:SN74LS641-1C-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:SOIC20S","","","","","","",""
"","","U$1","LOGO","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:LOGO","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","D1","1N4004","rascsi_din-rescue:1N4004-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:DO41-10","","","","","","",""
"2","4","D2, D3, D4, D5","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"3","1","FUSE1A1","R-US_0204_7","rascsi_din-rescue:R-US_0204_7-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:0204_7","","","","","","",""
"4","1","H1","Hole1","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"5","1","H2","Hole2","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"6","1","H3","Hole3","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"7","1","H4","Hole5","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"8","1","H5","Hole4","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"9","1","H6","Hole6","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","~","","","","","",""
"10","1","J1","Raspberry_Pi_2_3","Connector:Raspberry_Pi_2_3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","",""
"11","1","J2","DLS3XS6AK44X","rascsi_din-rescue:DLS3XS6AK44X-Library_Loader_Parts","SamacSys_Parts:DLS3XS6AK44X","https://componentsearchengine.com/Datasheets/1/DLS3XS6AK44X.pdf","D-Sub Standard Connectors 25P F R/A .370 4-40 C/W HEX","12.5","CONEC","DLS3XS6AK44X","706-DLS3XS6AK44X","https://www.mouser.com/Search/Refine.aspx?Keyword=706-DLS3XS6AK44X"
"12","1","J3","Conn_02x25_Odd_Even","Connector_Generic:Conn_02x25_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD","~","","","","","",""
"13","1","J4","I2C Pinout","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"14","1","JP1","Term_Enable_GND","Device:Jumper_NC_Small","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","",""
"15","1","JP2","Term_Enable_5v","Device:Jumper_NC_Small","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","",""
"16","1","L1","Mac","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_happy_small","","","","","","",""
"17","1","L2","Dogcow","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:dogcow","","","","","","",""
"18","1","L3","Mac2","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_happy_small","","","","","","",""
"19","1","L4","Dogcow2","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:dogcow","","","","","","",""
"20","2","L5, L7","Raspberry Pi","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:pi_logo","","","","","","",""
"21","1","L6","Mac Trashcan","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:mac_trashcan","","","","","","",""
"22","3","R1, R2, R4","44","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"23","1","R3","112","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"24","2","RN1, RN2","10k","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"25","2","RN3, RN5","220","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"26","2","RN4, RN6","330","Device:R_Network09","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf","","","","","",""
"27","4","U1, U2, U3, U4","SN74LS641-1C","rascsi_din-rescue:SN74LS641-1C-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:SOIC20S","","","","","","",""
"28","1","U$1","LOGO","rascsi_din-rescue:LOGO-rascsi_din-eagle-import-rascsi_din-rescue","rascsi_din:LOGO","","","","","","",""
